"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,15,"AUS","Australia",1,"Ashmore and Cartier Islands","Territory","Territory",NA,NA
2,15,"AUS","Australia",2,"Australian Capital Territory","Territory","Territory",NA,NA
3,15,"AUS","Australia",3,"Coral Sea Islands","Territory","Territory",NA,NA
4,15,"AUS","Australia",4,"Jervis Bay Territory","Territory","Territory",NA,NA
5,15,"AUS","Australia",5,"New South Wales","State","State",NA,NA
6,15,"AUS","Australia",6,"Northern Territory","Territory","Territory",NA,NA
7,15,"AUS","Australia",7,"Queensland","State","State",NA,NA
8,15,"AUS","Australia",8,"South Australia","State","State",NA,NA
9,15,"AUS","Australia",9,"Tasmania","State","State",NA,NA
10,15,"AUS","Australia",10,"Victoria","State","State",NA,NA
11,15,"AUS","Australia",11,"Western Australia","State","State",NA,NA
